item_id,shop_id,shop_location,brand,sold_quantity,discount_price,original_price,discount,liked_count,rating_star,number_of_ratings,cluster
13439824090,576524321,TP. HO CHI MINH,NOKIA,151,618000,1198000,0.49,42,4.487179487,39,0
7452366593,108110554,TP. HO CHI MINH,HTC,248,1790000,1790000,0,29,5,8,2
8640043331,11171175,TP. HO CHI MINH,SONY,2781,1598000,1748000,0.44,32,4.875,24,0
8445415792,11171175,TP. HO CHI MINH,VIVO,45,749000,1150000,0.45,8,5,8,2
2806872531,167948253,TP. HO CHI MINH,KYOCERA,35,1690000,1690000,0,8807,5,15,2
9621394747,41470347,HA NOI,SONY,73,2700000,2700000,0,56,4.926829268,41,2
9978326225,236538249,TP. HO CHI MINH,XIAOMI,179,2090000,2890000,0.28,48,4.963636364,55,2
7954401670,55763871,HA NOI,XIAOMI,39,6100000,6100000,0,280,4.866666667,30,1
8709742338,108110554,TP. HO CHI MINH,OPPO,2697,2725000,5450000,0.5,69,4.944444444,18,0
9740046870,11171175,TP. HO CHI MINH,SONY,2185,1449000,1549000,0.44,31,4.666666667,15,0
3036448624,11171175,TP. HO CHI MINH,XIAOMI,1621,3400000,6800000,0.5,18,4.785714286,14,1
4251178254,11171175,TP. HO CHI MINH,OPPO,737,4000000,4000000,0,14,5,4,1
1226647678,70094786,TP. HO CHI MINH,NOKIA,109,1690000,1690000,0,130,4.660377358,53,2
5886259911,11171175,TP. HO CHI MINH,XIAOMI,1711,1395000,2550000,0.47,173,4.3,30,0
9478830410,25452983,TP. HO CHI MINH,OPPO,122,8950000,2400000,0.31,220,4.884615385,52,1
4278122442,41470347,HA NOI,SONY,76,2300000,2300000,0,121,4.780487805,41,2
15901824280,7574932,HA NOI,XIAOMI,70,8790000,8790000,0,48,5,30,1
665891397,1760986,BAC GIANG,SAMSUNG,87,5000000,5000000,0,13,5,22,1
7552197879,11171175,TP. HO CHI MINH,SHARP,586,1698000,2600000,0.38,30,5,10,2
3376185951,108110554,TP. HO CHI MINH,LG,2442,3699000,3788000,0.45,26,4.714285714,14,0
3652463183,108110554,TP. HO CHI MINH,OPPO,1863,644000,1190000,0.5,19,4.764705882,17,0
5986199738,11171175,TP. HO CHI MINH,LG,1890,1849000,3400000,0.49,37,4.529411765,17,0
5851171755,11171175,TP. HO CHI MINH,OPPO,1067,2288000,4000000,0.5,13,4.733333333,15,2
5086279195,11171175,TP. HO CHI MINH,XIAOMI,1338,1648000,2850000,0.5,20,4.733333333,15,0
8643857727,11171175,TP. HO CHI MINH,LG,1545,1298000,2200000,0.47,35,4.692307692,13,0
